State,Workplace Fatalities 2011,Population Estimate 2011
Alabama,75,4802740
Alaska,39,722718
Arizona,69,6482505
Arkansas,93,2937979
California,390,37691912
Colorado,92,5116796
Connecticut,37,3580709
Delaware,10,907135
District of Columbia,9,617996
Florida,226,19057542
Georgia,111,9815210
Hawaii,26,1374810
Idaho,37,1584985
Illinois,177,12869257
Indiana,125,6516922
Iowa,93,3062309
Kansas,78,2871238
Kentucky,93,4369356
Louisiana,111,4574836
Maine,26,1328188
Maryland,71,5828289
Massachusetts,68,6587536
Michigan,141,9876187
Minnesota,60,5344861
Mississippi,63,2978512
Missouri,132,6010688
Montana,49,998199
Nebraska,39,1842641
Nevada,38,2723322
New Hampshire,9,1318194
New Jersey,99,8821155
New Mexico,52,2082224
New York,206,19465197
North Carolina,148,9656401
North Dakota,44,683932
Ohio,155,11544951
Oklahoma,86,3791508
Oregon,58,3871859
Pennsylvania,186,12742886
Rhode Island,7,1051302
South Carolina,81,4679230
South Dakota,31,824082
Tennessee,120,6403353
Texas,433,25674681
Utah,39,2817222
Vermont,8,626431
Virginia,127,8096604
Washington,60,6830038
West Virginia,43,1855364
Wisconsin,89,5711767
Wyoming,32,568158
