Country, Undocumented, Eligible
Mexico, 5850000, 3217500
El Salvador, 675000, 425250
Guatemala, 525000, 194250
Honduras, 350000, 171500
South America (other), 200000, 93500
Haiti, 110000, 74800
Dominican Republic, 170000, 56100
Caribbean (other), 170000, 60100
Colombia, 150000, 55500
Central America (other), 150000, 59000
Ecuador, 130000, 49400
Peru, 120000, 45600
Jamaica, 100000, 39000
Brazil, 100000, 31000

Source:Pew Research Center 2012 via Rachel Glickhouse and Pedro Burgos (CUNY SoJ Sp 2015)
